Name,Role,Price,Points,Team
Egan,D,4.5,0,SHU
Stearman,D,4,0,SHU
Lundstram,D,4,0,SHU
Basham,D,4.5,0,SHU
Jagielka,D,4.5,22,SHU
Vestergaard,D,5,50,SOU
Bertrand,D,5,56,SOU
Valery,D,5,54,SOU
Bendnarek,D,4.5,49,SOU
Stephens,D,4.5,47,SOU
Yashida,D,4.5,44,SOU
Ramsay,D,4,1,SOU
Hoedt,D,4.5,29,SOU
Cedric,D,5,52,SOU
Davies,D,5.5,66,TOT
Vertonghen,D,5.5,67,TOT
Alderweireld,D,5.5,107,TOT
Rose,D,5.5,86,TOT
Sanchez,D,5.5,78,TOT
Trippier,D,5.5,118,TOT
Foyth,D,5,35,TOT
Aurier,D,5,24,TOT
WalkerPeters,D,5,28,TOT
Holebas,D,5,93,WAT
Kabasele,D,4.5,36,WAT
Masina,D,4.5,26,WAT
Mariappa,D,4.5,57,WAT
Femenia Far,D,4.5,66,WAT
Cathcart,D,4.5,93,WAT
Janmaat,D,4.5,50,WAT
Navarro,D,4,2,WAT
Prodl,D,4,1,WAT
Dawson,D,5,87,WAT
Ogbonna,D,4.5,48,WHU
Masuaku,D,4.5,49,WHU
Zabaleta,D,4.5,56,WHU
Reid,D,4,0,WHU
Jonhson,D,4,2,WHU
Doherty,D,6,144,WOL
Jonny,D,5.5,103,WOL
Coady,D,5,94,WOL
Bennett,D,5,89,WOL
Boly,D,5,120,WOL
Vinagre,D,4.5,24,WOL
Saiss,D,4.5,47,WOL
Kilman,D,4,1,WOL
Vallejo Lazaro,D,5,0,WOL
Hanley,D,4,0,NOR
Salah,M,12.5,259,LIV
Buendia,M,6,0,NOR
Fabinho,M,5.5,65,LIV
Henderson,M,5.5,76,LIV
Wijnaldum,M,5.5,108,LIV
McLean,M,5,0,NOR
Cantwell,M,4.5,0,NOR
Trybull,M,4.5,0,NOR
Mane,M,11.5,231,LIV
Milner,M,5.5,101,LIV
Sterling,M,12,234,MCI
DeBruyne,M,9.5,59,MCI
Mahrez,M,8.5,102,MCI
DavidSilva,M,7.5,143,MCI
Rodrigo,M,5.5,0,MCI
Hernandez,M,5.5,0,NOR
Stiepermann,M,5.5,0,NOR
Antonio,M,7,118,WHU
Pereira Gomes,M,7,155,WHU
Lanzini,M,6.5,31,WHU
Wilshere,M,5,17,WHU
Rice,M,5,92,WHU
Ozil,M,7.5,89,ARS
Mkhitaryan,M,7,98,ARS
Xhaka,M,5.5,90,ARS
Torreira,M,5,78,ARS
Elneny,M,4.5,10,ARS
Guendouzi,M,4.5,47,ARS
Ceballos,M,5.5,0,ARS
Pepe,M,9.5,0,ARS
Nelson,M,5.5,0,ARS
Willock,M,5,4,ARS
Hourihane,M,6,0,AVL
Grealish,M,6,28,AVL
ElGhazi,M,5.5,0,AVL
McGinn,M,5.5,0,AVL
Green,M,5,2,AVL
Bjarnason,M,4.5,0,AVL
Davis,M,4.5,0,AVL
Lansbury,M,4.5,0,AVL
Jota,M,6,0,AVL
Trezeguet,M,5.5,0,AVL
